"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.07282947412978e-61,0.917182889628076,0.482,0.25,2.18803571248769e-57,"0","CCDC88A"
3.33464733977831e-61,0.732670317100987,0.809,0.602,6.80101324947787e-57,"0","KLF6"
2.98185034748395e-60,1.44811099723243,0.281,0.108,6.08148378369352e-56,"0","MMP19"
8.96319111160861e-60,1.07083363674761,0.39,0.184,1.82804282721258e-55,"0","PLEKHB2"
9.87733252064313e-60,1.05574627010412,0.453,0.243,2.01448196758517e-55,"0","BCAP31"
1.02424551015507e-59,0.881235396272322,0.528,0.29,2.08894871796126e-55,"0","HCST"
3.78700300389173e-59,0.895524252803604,0.469,0.245,7.72359262643718e-55,"0","GSTO1"
4.36084966927722e-59,0.801153185985934,0.57,0.332,8.89395290049088e-55,"0","CMTM6"
9.98010879854594e-59,1.09406818265258,0.372,0.168,2.03544318946344e-54,"0","SNX10"
1.16738480465649e-58,1.35490439869873,0.254,0.091,2.3808813090969e-54,"0","HAVCR2"
1.77587367039889e-58,0.791576253165626,0.522,0.279,3.62189435077854e-54,"0","RGCC"
2.98758547528856e-58,1.00516309625994,0.427,0.213,6.09318057685101e-54,"0","RAB31"
3.23852114347992e-58,0.825371843218613,0.509,0.274,6.60496387212729e-54,"0","SH3BGRL"
4.50720651135345e-58,1.34590545254741,0.279,0.108,9.19244767990535e-54,"0","RASSF4"
1.83315757314766e-57,1.10085146935748,0.332,0.142,3.73872487043466e-53,"0","CD4"
2.30459029103217e-57,1.29204161869512,0.349,0.16,4.70021189856011e-53,"0","TGFBI"
2.94829759227045e-57,1.40520999430283,0.279,0.111,6.01305293943558e-53,"0","GUSB"
2.08676764792757e-56,0.992567419637637,0.409,0.204,4.25596261794828e-52,"0","MGAT1"
3.45997765491267e-56,0.882285240608589,0.55,0.334,7.05662442719439e-52,"0","ATOX1"
7.72626492611482e-56,0.886105707940734,0.431,0.217,1.57577173168112e-51,"0","PLIN2"
1.40080275569547e-55,0.714172297808286,0.737,0.509,2.85693722024092e-51,"0","CD9"
2.48347940459529e-55,1.32827860149271,0.259,0.098,5.0650562456721e-51,"0","SIRPA"
3.96598418215043e-55,1.11129164324387,0.346,0.158,8.08862473949581e-51,"0","LGALS9"
2.8636050337389e-54,0.652808717078978,0.674,0.436,5.84032246631049e-50,"0","ARPC5"
5.71457529214416e-54,0.646348382194013,0.491,0.255,1.1654876308328e-49,"0","FYB1"
